variable_name,variable,value
age,4.0,0.0008461356002040349
creatinine_phosphokinase,4.0,-7.4382487189827e-05
ejection_fraction,4.0,0.0004316804549800572
platelets,4.0,0.0002144661758865026
serum_creatinine,4.0,0.0011538074197270283
serum_sodium,4.0,0.0006059884710742947
sex,4.0,-1.3736591422682379e-05
smoking,4.0,-6.124405894413902e-05
age,6.0,0.000350194297799628
creatinine_phosphokinase,6.0,0.0018314559501829426
ejection_fraction,6.0,0.0015940835917545337
platelets,6.0,0.0015489153393507154
serum_creatinine,6.0,-0.0007755895527461798
serum_sodium,6.0,0.00038554470899545233
sex,6.0,-1.4898094858292198e-05
smoking,6.0,-0.0001812593106331064
age,7.0,-0.00021793904224612338
creatinine_phosphokinase,7.0,0.0027955734755862284
ejection_fraction,7.0,0.0030815007685402436
platelets,7.0,-0.0021709665119535666
serum_creatinine,7.0,0.0015224608217639158
serum_sodium,7.0,0.0006459365598814972
sex,7.0,-7.207176536358126e-05
smoking,7.0,-0.00011730620186874412
age,8.0,0.001024875959710509
creatinine_phosphokinase,8.0,0.0034513135950780243
ejection_fraction,8.0,0.003998992938410448
platelets,8.0,-0.002294857944550224
serum_creatinine,8.0,0.003690832835191096
serum_sodium,8.0,0.002029235261545687
sex,8.0,7.823570315886117e-05
smoking,8.0,-5.552625989180813e-05
age,10.0,0.005290163378411323
creatinine_phosphokinase,10.0,0.005013279167903349
ejection_fraction,10.0,0.007038985095668798
platelets,10.0,-0.0026950941465931993
serum_creatinine,10.0,0.0050910943804445465
serum_sodium,10.0,0.0038220397656490105
sex,10.0,0.0001347852204530263
smoking,10.0,0.0003621883205920419
age,11.0,-0.009835790727712899
creatinine_phosphokinase,11.0,-0.008983440931504674
ejection_fraction,11.0,-0.016509859553657028
platelets,11.0,-0.024555432834093224
serum_creatinine,11.0,-0.011406239564677022
serum_sodium,11.0,-0.002951674582789381
sex,11.0,-0.0017958759651232753
smoking,11.0,-0.0020768166404076275
age,13.0,-0.005421787871197565
creatinine_phosphokinase,13.0,-0.00932500116629661
ejection_fraction,13.0,-0.015723407870487465
platelets,13.0,-0.026972255541810812
serum_creatinine,13.0,-0.011499500083306182
serum_sodium,13.0,-0.0036926252518676163
sex,13.0,-0.0020009404192977446
smoking,13.0,-0.002092610166995831
age,14.0,-0.0050611744957313074
creatinine_phosphokinase,14.0,-0.009511935283611557
ejection_fraction,14.0,-0.014236430975324057
platelets,14.0,-0.028723723453402242
serum_creatinine,14.0,-0.011922490095930268
serum_sodium,14.0,-0.002779711306498205
sex,14.0,-0.0020341483300412135
smoking,14.0,-0.0021810613331442186
age,15.0,-0.004016068771096763
creatinine_phosphokinase,15.0,-0.008312407425965737
ejection_fraction,15.0,-0.01407678064174961
platelets,15.0,-0.02925683624647719
serum_creatinine,15.0,-0.009313110552857136
serum_sodium,15.0,-0.0008856829097543957
sex,15.0,-0.0015194980900704877
smoking,15.0,-0.0023106268595489594
age,20.0,-0.0013029269320778832
creatinine_phosphokinase,20.0,-0.00457263108594834
ejection_fraction,20.0,-0.018215017556674536
platelets,20.0,-0.02579872178215957
serum_creatinine,20.0,-0.009137885227442704
serum_sodium,20.0,-0.0014247756751605647
sex,20.0,-0.0006047662110161346
smoking,20.0,-0.0024908737390914584
age,23.0,0.001992656020402049
creatinine_phosphokinase,23.0,-0.004275066105875198
ejection_fraction,23.0,-0.019461313260407963
platelets,23.0,-0.026295301052310153
serum_creatinine,23.0,-0.004413043874033042
serum_sodium,23.0,-0.001383359360450497
sex,23.0,-0.00048157631475844674
smoking,23.0,-0.0024674934396241403
age,24.0,0.005109511036863942
creatinine_phosphokinase,24.0,-0.0033892279684681246
ejection_fraction,24.0,-0.018851242495698594
platelets,24.0,-0.027741469904045735
serum_creatinine,24.0,-0.0057576693017986355
serum_sodium,24.0,-0.00178440710300142
sex,24.0,-0.00041445456451675504
smoking,24.0,-0.0027101232941353056
age,26.0,0.007607043947803306
creatinine_phosphokinase,26.0,-0.0008484995592309781
ejection_fraction,26.0,-0.019624357433843765
platelets,26.0,-0.028355575287822267
serum_creatinine,26.0,-0.002908205151539086
serum_sodium,26.0,-0.0006153452083431577
sex,26.0,-0.0009882946084103395
smoking,26.0,-0.002304083350146
age,27.0,0.008791683654071956
creatinine_phosphokinase,27.0,-0.0008105592011836371
ejection_fraction,27.0,-0.019314296435445008
platelets,27.0,-0.027975238735366413
serum_creatinine,27.0,-0.0014924343432939633
serum_sodium,27.0,-0.0005409335497512266
sex,27.0,-0.001009954479028064
smoking,27.0,-0.002318018734617244
age,28.0,0.008601058942619913
creatinine_phosphokinase,28.0,0.00034684792087247344
ejection_fraction,28.0,-0.01928183088472318
platelets,28.0,-0.02619821928487885
serum_creatinine,28.0,-0.0012434647911304497
serum_sodium,28.0,0.002531623753396473
sex,28.0,-0.0009840718445198015
smoking,28.0,-0.0024251198883253173
age,29.0,0.009181950517757812
creatinine_phosphokinase,29.0,0.0019772289796726496
ejection_fraction,29.0,-0.017083730525917332
platelets,29.0,-0.02804418887828662
serum_creatinine,29.0,-0.0024527517005340903
serum_sodium,29.0,0.002439069303005797
sex,29.0,-0.0011487954276166847
smoking,29.0,-0.0028149423246550654
age,30.0,0.015350531979842982
creatinine_phosphokinase,30.0,0.0005574580385853214
ejection_fraction,30.0,-0.01586884256034995
platelets,30.0,-0.026025858555216407
serum_creatinine,30.0,0.0009621324068128284
serum_sodium,30.0,0.0025905876391932653
sex,30.0,-0.000866257987700382
smoking,30.0,-0.002930769721350998
age,31.0,0.015542569761531542
creatinine_phosphokinase,31.0,0.00029158025696461977
ejection_fraction,31.0,-0.014329988750421819
platelets,31.0,-0.025841077948162563
serum_creatinine,31.0,0.0024469030409465355
serum_sodium,31.0,0.0028600310359982997
sex,31.0,-0.0008830869444478601
smoking,31.0,-0.0027810809926304457
age,32.0,0.011666552712448318
creatinine_phosphokinase,32.0,0.004769908666905518
ejection_fraction,32.0,-0.024704118526945498
platelets,32.0,-0.0355706247006744
serum_creatinine,32.0,0.0002510347602916141
serum_sodium,32.0,0.000821795989009832
sex,32.0,0.0017723258868287527
smoking,32.0,-0.0023140348716442147
age,33.0,0.01206939051213915
creatinine_phosphokinase,33.0,0.0016236258477839102
ejection_fraction,33.0,-0.02029646763928181
platelets,33.0,-0.04210165751749063
serum_creatinine,33.0,-0.002664490177329623
serum_sodium,33.0,0.0009444084098870712
sex,33.0,0.0021932205416114675
smoking,33.0,-0.0029547117198386007
age,35.0,0.011176709322158047
creatinine_phosphokinase,35.0,0.0014922925964464331
ejection_fraction,35.0,-0.019717242857166032
platelets,35.0,-0.04128980260821784
serum_creatinine,35.0,0.0002980170773786534
serum_sodium,35.0,0.0010542943645748828
sex,35.0,0.002113266679441595
smoking,35.0,-0.002670012754406257
age,38.0,0.011086672409097699
creatinine_phosphokinase,38.0,-0.0034286834359412164
ejection_fraction,38.0,-0.022697431311863112
platelets,38.0,-0.039394677520465424
serum_creatinine,38.0,-0.0017714517855011503
serum_sodium,38.0,0.0020896485782695914
sex,38.0,0.0015463602577461095
smoking,38.0,-0.00330674137782822
age,40.0,0.01123036525071175
creatinine_phosphokinase,40.0,-0.0035965840903706787
ejection_fraction,40.0,-0.0220240127723475
platelets,40.0,-0.03769412130519787
serum_creatinine,40.0,-0.0011467995374643157
serum_sodium,40.0,0.0018880022587417018
sex,40.0,0.00143656257971726
smoking,40.0,-0.0032099294825535278
age,41.0,0.012713568185996909
creatinine_phosphokinase,41.0,-0.0035993824321448745
ejection_fraction,41.0,-0.021550228075430455
platelets,41.0,-0.03855525876174359
serum_creatinine,41.0,0.00037172118520047815
serum_sodium,41.0,0.0022362311659145867
sex,41.0,0.0013970788146654347
smoking,41.0,-0.003230168972801597
age,42.0,0.011913971624059733
creatinine_phosphokinase,42.0,0.0014225984063557064
ejection_fraction,42.0,-0.03122894621078967
platelets,42.0,-0.03451358285553807
serum_creatinine,42.0,-0.0018943309345363557
serum_sodium,42.0,0.0021232721405175393
sex,42.0,0.003887872731642466
smoking,42.0,-0.003920440198092595
age,43.0,0.014618696125215007
creatinine_phosphokinase,43.0,0.0002430004302989688
ejection_fraction,43.0,-0.031844182941527376
platelets,43.0,-0.03843954187403347
serum_creatinine,43.0,-0.0026533185703335035
serum_sodium,43.0,0.00090637100830069
sex,43.0,0.004331604949580145
smoking,43.0,-0.004549166699801092
age,44.0,0.015431648101626694
creatinine_phosphokinase,44.0,0.0010161198724739306
ejection_fraction,44.0,-0.03082528796648004
platelets,44.0,-0.037318156128842796
serum_creatinine,44.0,-0.003171784357070685
serum_sodium,44.0,0.001311385525446152
sex,44.0,0.004486940826356208
smoking,44.0,-0.004604257201581441
age,45.0,0.015225202515358085
creatinine_phosphokinase,45.0,0.0010309285730200346
ejection_fraction,45.0,-0.03039139603905177
platelets,45.0,-0.03702154331392912
serum_creatinine,45.0,-0.0014620785563889311
serum_sodium,45.0,0.0021234345637685783
sex,45.0,0.004687155939489512
smoking,45.0,-0.004525953864947601
age,50.0,0.01728283570398443
creatinine_phosphokinase,50.0,0.000782782732577201
ejection_fraction,50.0,-0.031751464681381264
platelets,50.0,-0.03633706243003613
serum_creatinine,50.0,3.9838261930030624e-05
serum_sodium,50.0,0.002767133365622674
sex,50.0,0.004651477825288971
smoking,50.0,-0.004665152422346241
age,55.0,0.014490043365500655
creatinine_phosphokinase,55.0,-0.003462934582449801
ejection_fraction,55.0,-0.03172772640280086
platelets,55.0,-0.03255683592837586
serum_creatinine,55.0,-0.0029929569765056226
serum_sodium,55.0,0.0017653863780217847
sex,55.0,0.004351380725622062
smoking,55.0,-0.004143175252583835
age,59.0,0.016144839133065882
creatinine_phosphokinase,59.0,-0.0037372133007109896
ejection_fraction,59.0,-0.03053359937165913
platelets,59.0,-0.03230386597514928
serum_creatinine,59.0,-0.0032847935180240215
serum_sodium,59.0,0.0011979530193355443
sex,59.0,0.004333496809122902
smoking,59.0,-0.0038868479963847613
age,60.0,0.011511330355591397
creatinine_phosphokinase,60.0,-0.008864698932077277
ejection_fraction,60.0,-0.03499939887356334
platelets,60.0,-0.02997864851270378
serum_creatinine,60.0,-0.003535273933614263
serum_sodium,60.0,0.002035903205766999
sex,60.0,0.0037317675420043767
smoking,60.0,-0.004602272027860357
age,61.0,0.009746554324191456
creatinine_phosphokinase,61.0,-0.008995839230033281
ejection_fraction,61.0,-0.03436591986360615
platelets,61.0,-0.02685822207651955
serum_creatinine,61.0,-0.004754436014765466
serum_sodium,61.0,0.0023904321596143674
sex,61.0,0.0035712516605806216
smoking,61.0,-0.004929095653471707
age,64.0,0.009728652841688919
creatinine_phosphokinase,64.0,-0.008687763494881422
ejection_fraction,64.0,-0.03358013074011347
platelets,64.0,-0.02793222733046899
serum_creatinine,64.0,-0.002131742020319251
serum_sodium,64.0,0.0031989111036834026
sex,64.0,0.0035107951532211785
smoking,64.0,-0.004865689930152711
age,65.0,0.009330813757385916
creatinine_phosphokinase,65.0,-0.005916376993369691
ejection_fraction,65.0,-0.03267841506883958
platelets,65.0,-0.02758686859376033
serum_creatinine,65.0,-0.0033827716769249303
serum_sodium,65.0,0.0024078791097754955
sex,65.0,0.003730212589839028
smoking,65.0,-0.004811965987086329
age,66.0,0.011558773691169732
creatinine_phosphokinase,66.0,-0.005121945508655941
ejection_fraction,66.0,-0.03331101212107885
platelets,66.0,-0.027261328438174127
serum_creatinine,66.0,-0.003418372367524023
serum_sodium,66.0,0.002896889747493968
sex,66.0,0.004216759147320967
smoking,66.0,-0.00493015056806077
age,67.0,0.011483632984806315
creatinine_phosphokinase,67.0,-0.004142567887997899
ejection_fraction,67.0,-0.033998663416937955
platelets,67.0,-0.02627864179786427
serum_creatinine,67.0,-0.0013070367769192947
serum_sodium,67.0,0.0028751854007485755
sex,67.0,0.00417186042582661
smoking,67.0,-0.004959613893754079
age,72.0,0.013414088395450982
creatinine_phosphokinase,72.0,-0.004155621170126837
ejection_fraction,72.0,-0.03405056721519058
platelets,72.0,-0.02587421607752765
serum_creatinine,72.0,-0.0019768514960069082
serum_sodium,72.0,0.003799308956186651
sex,72.0,0.004170698898899681
smoking,72.0,-0.004570490534028889
age,73.0,0.015732384232820477
creatinine_phosphokinase,73.0,-0.0026621608481762465
ejection_fraction,73.0,-0.03076871818044424
platelets,73.0,-0.025694976883652045
serum_creatinine,73.0,-0.0029652790635605036
serum_sodium,73.0,0.003676033268615136
sex,73.0,0.004058754287787737
smoking,73.0,-0.004027788833353701
age,77.0,0.01577064213685922
creatinine_phosphokinase,77.0,-0.0019548597562841774
ejection_fraction,77.0,-0.031417475016833764
platelets,77.0,-0.026676671562946556
serum_creatinine,77.0,-0.00014350548728946617
serum_sodium,77.0,0.004961834119061824
sex,77.0,0.00433660915334893
smoking,77.0,-0.0041072645356563945
age,78.0,0.01667257015189391
creatinine_phosphokinase,78.0,-0.002348509028489073
ejection_fraction,78.0,-0.032891879346632714
platelets,78.0,-0.02570482756645857
serum_creatinine,78.0,-0.0011070148904932429
serum_sodium,78.0,0.005281955477351963
sex,78.0,0.005402512305786701
smoking,78.0,-0.00433866704794889
age,82.0,0.016274321440439277
creatinine_phosphokinase,82.0,0.000936512105007078
ejection_fraction,82.0,-0.03217993854900465
platelets,82.0,-0.026872905485461857
serum_creatinine,82.0,-0.0007151381697686768
serum_sodium,82.0,0.005381456526549972
sex,82.0,0.00506938396684452
smoking,82.0,-0.004985521608585201
age,88.0,0.01932481106487013
creatinine_phosphokinase,88.0,-0.001295362652271224
ejection_fraction,88.0,-0.04119676407776793
platelets,88.0,-0.024250496144608637
serum_creatinine,88.0,-0.0019091442093966983
serum_sodium,88.0,0.0039017660456475882
sex,88.0,0.006287026433002234
smoking,88.0,-0.004468511847163076
age,90.0,0.022297605793222264
creatinine_phosphokinase,90.0,4.916124366188346e-05
ejection_fraction,90.0,-0.0391336369777915
platelets,90.0,-0.0224904890453338
serum_creatinine,90.0,-0.0019955339054628053
serum_sodium,90.0,0.0039847360864089
sex,90.0,0.006642957329375415
smoking,90.0,-0.00451861875406075
age,95.0,0.023883234493698034
creatinine_phosphokinase,95.0,-0.0001164318938178892
ejection_fraction,95.0,-0.03859646323982054
platelets,95.0,-0.02216712804990546
serum_creatinine,95.0,-5.383231711702722e-05
serum_sodium,95.0,0.004149483136002828
sex,95.0,0.006843056164862861
smoking,95.0,-0.004537044414366058
age,96.0,0.023543780469866604
creatinine_phosphokinase,96.0,-0.0003877301364297686
ejection_fraction,96.0,-0.0382366959141034
platelets,96.0,-0.022501683211856232
serum_creatinine,96.0,0.003342238577422273
serum_sodium,96.0,0.005027257775917856
sex,96.0,0.006719164527076639
smoking,96.0,-0.0045386547619804185
age,100.0,0.02296660653268982
creatinine_phosphokinase,100.0,-0.00018914681940061464
ejection_fraction,100.0,-0.037254000874527446
platelets,100.0,-0.021886880138856073
serum_creatinine,100.0,0.004824798334920918
serum_sodium,100.0,0.005810977156785254
sex,100.0,0.00684150205549541
smoking,100.0,-0.004589623409216241
age,109.0,0.027101251443796857
creatinine_phosphokinase,109.0,-0.0009673732079631514
ejection_fraction,109.0,-0.03697116212367506
platelets,109.0,-0.020632345938579558
serum_creatinine,109.0,0.003466765681145843
serum_sodium,109.0,0.006395095973298694
sex,109.0,0.006797788180968273
smoking,109.0,-0.004642017128447892
age,111.0,0.0292958241233058
creatinine_phosphokinase,111.0,-0.004437389884869603
ejection_fraction,111.0,-0.03937701492774813
platelets,111.0,-0.018617579911453127
serum_creatinine,111.0,0.0034893138581745045
serum_sodium,111.0,0.006312571614005761
sex,111.0,0.006450210067004389
smoking,111.0,-0.0044007497930722535
age,113.0,0.03187553623497425
creatinine_phosphokinase,113.0,-0.0038055904730265318
ejection_fraction,113.0,-0.04371991791993574
platelets,113.0,-0.018621876531902035
serum_creatinine,113.0,0.006466127966893019
serum_sodium,113.0,0.006117696104663937
sex,113.0,0.005891582503190991
smoking,113.0,-0.0045701416295467895
age,115.0,0.032240926639757556
creatinine_phosphokinase,115.0,-0.003402960186512671
ejection_fraction,115.0,-0.04323912829664597
platelets,115.0,-0.018589162666707237
serum_creatinine,115.0,0.009552128888205036
serum_sodium,115.0,0.005831783059675958
sex,115.0,0.006190215806280466
smoking,115.0,-0.004611390302031846
age,126.0,0.029437122988536246
creatinine_phosphokinase,126.0,-0.00655061931413342
ejection_fraction,126.0,-0.04224647946847394
platelets,126.0,-0.03256555672784344
serum_creatinine,126.0,0.0078005028404965855
serum_sodium,126.0,0.007098113377047283
sex,126.0,0.00805362736648626
smoking,126.0,-0.004645011990853995
age,129.0,0.016560385298489227
creatinine_phosphokinase,129.0,-0.01853571363117961
ejection_fraction,129.0,-0.07368810261016666
platelets,129.0,-0.025862061990483527
serum_creatinine,129.0,0.0001914298614249473
serum_sodium,129.0,0.007080769324014715
sex,129.0,0.006393377436684969
smoking,129.0,-0.0064130432911625075
age,130.0,0.021967961460431097
creatinine_phosphokinase,130.0,-0.019840757809972683
ejection_fraction,130.0,-0.07296623182378616
platelets,130.0,-0.027112854864487487
serum_creatinine,130.0,-0.0004491544578990332
serum_sodium,130.0,0.008270561094238705
sex,130.0,0.00684459176339537
smoking,130.0,-0.00653459631230959
age,135.0,0.021729154469549247
creatinine_phosphokinase,135.0,-0.019187320637171074
ejection_fraction,135.0,-0.0720627775339315
platelets,135.0,-0.02791565739245051
serum_creatinine,135.0,0.0025606240343697055
serum_sodium,135.0,0.008336336147380288
sex,135.0,0.006741375285584875
smoking,135.0,-0.0066009551775871615
age,150.0,0.022340697355359564
creatinine_phosphokinase,150.0,-0.016430714078548937
ejection_fraction,150.0,-0.07588173893409496
platelets,150.0,-0.02869240831021592
serum_creatinine,150.0,-0.0004630745807694593
serum_sodium,150.0,0.006065882325363954
sex,150.0,0.005770318919269849
smoking,150.0,-0.005723428739578836
age,154.0,0.02526633500699274
creatinine_phosphokinase,154.0,-0.017714470605073463
ejection_fraction,154.0,-0.07859089264827594
platelets,154.0,-0.024466928721841988
serum_creatinine,154.0,-0.0004600891798415861
serum_sodium,154.0,0.004766093870963445
sex,154.0,0.005295999207776959
smoking,154.0,-0.005242792305225696
age,162.0,0.0257379275443163
creatinine_phosphokinase,162.0,-0.01714915023304891
ejection_fraction,162.0,-0.07793335466210725
platelets,162.0,-0.0245515728836641
serum_creatinine,162.0,0.0024402758668164775
serum_sodium,162.0,0.005247993228027524
sex,162.0,0.005114381926365121
smoking,162.0,-0.005257656758096228
age,170.0,0.025249714326892016
creatinine_phosphokinase,170.0,-0.013226283664289469
ejection_fraction,170.0,-0.07863342218899476
platelets,170.0,-0.025236011013521235
serum_creatinine,170.0,0.0032414708823638085
serum_sodium,170.0,0.00275948798218335
sex,170.0,0.0048665959306509795
smoking,170.0,-0.004637013903677875
age,171.0,0.024875685194174397
creatinine_phosphokinase,171.0,-0.0072779474463356185
ejection_fraction,171.0,-0.08673230539261462
platelets,171.0,-0.020981336968066724
serum_creatinine,171.0,0.003839661527038241
serum_sodium,171.0,0.0016974139586970107
sex,171.0,0.004394439507084897
smoking,171.0,-0.004942910773373536
age,172.0,0.017324764105260126
creatinine_phosphokinase,172.0,-0.012396064526811041
ejection_fraction,172.0,-0.08596317397394355
platelets,172.0,-0.033243086799049124
serum_creatinine,172.0,0.01063767027864927
serum_sodium,172.0,0.0020831215651335245
sex,172.0,0.008162610185063531
smoking,172.0,-0.00575350419332328
age,180.0,0.014492626284322326
creatinine_phosphokinase,180.0,-0.013545812945040257
ejection_fraction,180.0,-0.0830756984201669
platelets,180.0,-0.03848439058888079
serum_creatinine,180.0,0.014849662862051114
serum_sodium,180.0,0.0009407402826218992
sex,180.0,0.0076605757289964225
smoking,180.0,-0.0063736733362212885
age,193.0,0.012135758036852054
creatinine_phosphokinase,193.0,-0.01152220851491365
ejection_fraction,193.0,-0.08888121700819701
platelets,193.0,-0.03357461584652661
serum_creatinine,193.0,0.014703509376787929
serum_sodium,193.0,0.0032155298859811695
sex,193.0,0.008496703749740254
smoking,193.0,-0.006456913485441297
age,196.0,0.010048513490638105
creatinine_phosphokinase,196.0,-0.012227992237295386
ejection_fraction,196.0,-0.0862188213981031
platelets,196.0,-0.037426956486637984
serum_creatinine,196.0,0.021076514757317387
serum_sodium,196.0,0.0013259724607799274
sex,196.0,0.009237724715742555
smoking,196.0,-0.006637044499201818
age,198.0,0.010633915945310124
creatinine_phosphokinase,198.0,-0.01270001183918976
ejection_fraction,198.0,-0.08428150791831852
platelets,198.0,-0.03702651479117059
serum_creatinine,198.0,0.023509402800243696
serum_sodium,198.0,0.0015327603716114744
sex,198.0,0.009142335104159516
smoking,198.0,-0.0067928613285479405
age,207.0,0.010858199175149158
creatinine_phosphokinase,207.0,-0.011691399148248446
ejection_fraction,207.0,-0.09142971390199968
platelets,207.0,-0.04846764422948964
serum_creatinine,207.0,0.022806044722706417
serum_sodium,207.0,0.005910923939303911
sex,207.0,0.010876498871196379
smoking,207.0,-0.006962820048997643
age,214.0,0.014154958297871384
creatinine_phosphokinase,214.0,-0.02044953625023867
ejection_fraction,214.0,-0.09515757643431824
platelets,214.0,-0.03861904307039946
serum_creatinine,214.0,0.016284976279260018
serum_sodium,214.0,0.002589264828013922
sex,214.0,0.009755652460005391
smoking,214.0,-0.008303051541578727
age,235.0,0.019679678884979516
creatinine_phosphokinase,235.0,-0.019614592789873788
ejection_fraction,235.0,-0.09726619382038398
platelets,235.0,-0.039651463210724
serum_creatinine,235.0,0.014752594103469557
serum_sodium,235.0,0.008397371445141407
sex,235.0,0.009493822345755068
